timestamp,person_id,x_gt,y_gt
14.8,personFlow1.0,266.94,184.447
14.8,personFlow1.1,266.84,173.257
14.85,personFlow1.0,266.94,184.51
14.85,personFlow1.1,266.84,173.321
14.9,personFlow1.0,266.94,184.568
14.9,personFlow1.1,266.84,173.377
14.95,personFlow1.0,266.94,184.632
14.95,personFlow1.1,266.84,173.444
15,personFlow1.0,266.94,184.696
15,personFlow1.1,266.84,173.501
15.05,personFlow1.0,266.94,184.749
15.05,personFlow1.1,266.84,173.569
15.1,personFlow1.0,266.94,184.806
15.1,personFlow1.1,266.84,173.637
15.15,personFlow1.0,266.94,184.87
15.15,personFlow1.1,266.84,173.703
15.2,personFlow1.0,266.94,184.925
15.2,personFlow1.1,266.84,173.772
15.25,personFlow1.0,266.94,184.978
15.25,personFlow1.1,266.84,173.838
15.3,personFlow1.0,266.94,185.041
15.3,personFlow1.1,266.84,173.904
15.35,personFlow1.0,266.94,185.094
15.35,personFlow1.1,266.84,173.962
15.4,personFlow1.0,266.94,185.147
15.4,personFlow1.1,266.84,174.027
15.45,personFlow1.0,266.94,185.203
15.45,personFlow1.1,266.84,174.092
15.5,personFlow1.0,266.94,185.256
15.5,personFlow1.1,266.84,174.15
15.55,personFlow1.0,266.94,185.312
15.55,personFlow1.1,266.84,174.215
15.6,personFlow1.0,266.94,185.365
15.6,personFlow1.1,266.84,174.277
15.65,personFlow1.0,266.94,185.418
15.65,personFlow1.1,266.84,174.346
15.7,personFlow1.0,266.94,185.481
15.7,personFlow1.1,266.84,174.412
15.75,personFlow1.0,266.94,185.536
15.75,personFlow1.1,266.84,174.476
15.8,personFlow1.0,266.94,185.588
15.8,personFlow1.1,266.84,174.543
15.85,personFlow1.0,266.94,185.651
15.85,personFlow1.1,266.84,174.607
15.9,personFlow1.0,266.94,185.709
15.9,personFlow1.1,266.84,174.672
15.95,personFlow1.0,266.94,185.767
15.95,personFlow1.1,266.84,174.739
16,personFlow1.0,266.94,185.822
16,personFlow1.1,266.84,174.801
16.05,personFlow1.0,266.94,185.88
16.05,personFlow1.1,266.84,174.866
16.1,personFlow1.0,266.94,185.934
16.1,personFlow1.1,266.84,174.924
16.15,personFlow1.0,266.94,185.995
16.15,personFlow1.1,266.84,174.983
16.2,personFlow1.0,266.94,186.053
16.2,personFlow1.1,266.84,175.051
16.25,personFlow1.0,266.94,186.118
16.25,personFlow1.1,266.84,175.109
16.3,personFlow1.0,266.94,186.177
16.3,personFlow1.1,266.84,175.171
16.35,personFlow1.0,266.94,186.236
16.35,personFlow1.1,266.84,175.229
16.4,personFlow1.0,266.94,186.298
16.4,personFlow1.1,266.84,175.297
16.45,personFlow1.0,266.94,186.356
16.45,personFlow1.1,266.84,175.358
16.5,personFlow1.0,266.94,186.416
16.5,personFlow1.1,266.84,175.418
16.55,personFlow1.0,266.94,186.479
16.55,personFlow1.1,266.84,175.48
16.6,personFlow1.0,266.94,186.535
16.6,personFlow1.1,266.84,175.542
16.65,personFlow1.0,266.94,186.598
16.65,personFlow1.1,266.84,175.6
16.7,personFlow1.0,266.94,186.652
16.7,personFlow1.1,266.84,175.669
16.75,personFlow1.0,266.94,186.715
16.75,personFlow1.1,266.84,175.73
16.8,personFlow1.0,266.94,186.769
16.8,personFlow1.1,266.84,175.787
16.85,personFlow1.0,266.94,186.823
16.85,personFlow1.1,266.84,175.847
16.9,personFlow1.0,266.94,186.876
16.9,personFlow1.1,266.84,175.917
16.95,personFlow1.0,266.94,186.933
16.95,personFlow1.1,266.84,175.975
17,personFlow1.0,266.94,186.988
17,personFlow1.1,266.84,176.031
17.05,personFlow1.0,266.94,187.046
17.05,personFlow1.1,266.84,176.096
17.1,personFlow1.0,266.94,187.099
17.1,personFlow1.1,266.84,176.166
17.15,personFlow1.0,266.94,187.155
17.15,personFlow1.1,266.84,176.233
17.2,personFlow1.0,266.94,187.207
17.2,personFlow1.1,266.84,176.301
17.25,personFlow1.0,266.94,187.262
17.25,personFlow1.1,266.84,176.362
