timestamp,id,sensor,x,y
37.55,car0,5,266.818,176.698,4
37.6,car0,5,266.832,176.766,4
37.65,car0,5,266.845,176.826,4
37.7,car0,5,266.857,176.881,4
37.75,car0,5,266.869,176.94,4
37.8,car0,5,266.883,177.004,4
37.85,car0,5,266.895,177.061,4
37.9,car0,5,266.907,177.116,4
37.95,car0,5,266.92,177.181,4
38,car0,5,266.935,177.247,4
38.05,car0,5,266.947,177.307,4
38.1,car0,5,266.962,177.376,4
38.15,car0,5,266.975,177.44,4
38.2,car0,5,266.989,177.503,4
38.25,car0,5,267,177.554,4
38.3,car0,5,267.012,177.61,4
38.35,car0,5,267.024,177.67,4
38.4,car0,5,267.036,177.723,4
38.45,car0,5,267.047,177.777,4
