timestamp,id,sensor,x,y
19.65,car0,0,267.095,171.676,4
19.65,car0,5,267.315,179.035,4
19.7,car0,0,267.104,171.638,4
19.7,car0,5,267.328,179.097,4
19.75,car0,0,267.113,171.593,4
19.75,car0,5,267.338,179.146,4
19.8,car0,0,267.122,171.549,4
19.8,car0,5,267.349,179.199,4
19.85,car0,0,267.132,171.502,4
19.85,car0,5,267.36,179.248,4
19.9,car0,0,267.146,171.44,4
19.9,car0,5,267.371,179.302,4
19.95,car0,0,267.158,171.382,4
19.95,car0,5,267.383,179.359,4
20,car0,0,267.166,171.342,4
20,car0,5,267.396,179.417,4
20.05,car0,0,267.175,171.299,4
20.05,car0,5,267.408,179.476,4
20.1,car0,0,267.187,171.245,4
20.1,car0,5,267.42,179.532,4
20.15,car0,0,267.198,171.195,4
20.15,car0,5,267.434,179.597,4
20.2,car0,0,267.21,171.138,4
20.2,car0,5,267.447,179.658,4
20.25,car0,0,267.223,171.075,4
20.25,car0,5,267.461,179.725,4
20.3,car0,0,267.236,171.016,4
20.3,car0,5,267.474,179.784,4
20.35,car0,0,267.247,170.963,4
20.35,car0,5,267.486,179.843,4
20.4,car0,0,267.257,170.914,4
20.4,car0,5,267.501,179.912,4
20.45,car0,0,267.268,170.866,4
20.45,car0,5,267.514,179.971,4
20.5,car0,0,267.278,170.816,4
20.5,car0,5,267.526,180.029,4
20.55,car0,0,267.29,170.76,4
20.55,car0,5,267.538,180.086,4
20.6,car0,0,267.303,170.701,4
